param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,mean_test_score,std_test_score,rank_test_score
500,30,2,2,log2,True,0.810942791229906,0.04452516937641911,1
500,20,2,2,log2,True,0.810942791229906,0.04452516937641913,1
500,,2,2,log2,True,0.810942791229906,0.04452516937641911,1
800,20,2,2,log2,True,0.8090551527056219,0.04454867276510781,4
800,30,2,2,log2,True,0.8089849772670252,0.044565365765513766,5
800,,2,2,log2,True,0.8089849772670252,0.044565365765513766,5
300,20,10,1,0.5,True,0.8088979616813223,0.04377185483170858,7
300,30,10,1,0.5,True,0.8088979616813223,0.04377185483170858,7
300,,10,1,0.5,True,0.8088979616813223,0.04377185483170858,7
800,30,2,2,sqrt,True,0.8088869837656576,0.04486353572190039,10
800,,2,2,sqrt,True,0.8088869837656576,0.04486353572190039,10
800,20,2,2,sqrt,True,0.8088869837656576,0.04486353572190039,10
500,10,5,1,sqrt,True,0.8086638395780172,0.04254521024393982,13
300,20,2,2,log2,True,0.8086569737912972,0.04298878789570836,14
300,,2,2,log2,True,0.808622461280512,0.043021964173266154,15
300,30,2,2,log2,True,0.808622461280512,0.043021964173266154,15
800,10,2,2,sqrt,True,0.8083930999455387,0.04423055441949457,17
500,10,2,2,log2,True,0.8083846798719854,0.041740820969617606,18
800,10,2,2,log2,True,0.8082856338614237,0.04297247265009279,19
300,10,10,1,0.5,True,0.8080946034426841,0.042733954422871166,20
800,20,10,1,log2,True,0.8080411090509673,0.04453846461703368,21
800,10,5,2,log2,True,0.8080390040325789,0.04548109394819566,22
500,10,2,2,sqrt,True,0.8080252235052228,0.04139775028223001,23
500,20,5,1,log2,True,0.8080073186104431,0.04527530683578607,24
500,,5,1,log2,True,0.8079725980455148,0.04528531759881629,25
500,30,5,1,log2,True,0.8079725980455148,0.04528531759881629,25
800,10,5,2,sqrt,True,0.8079186630685538,0.043031577989137426,27
800,20,5,2,log2,False,0.8079175860824017,0.04178236202578937,28
800,,10,1,log2,True,0.8079007581737742,0.044354780722768945,29
800,30,10,1,log2,True,0.8079007581737742,0.044354780722768945,29
800,20,2,1,sqrt,True,0.8078995220873949,0.04288179997287463,31
800,30,2,1,sqrt,True,0.8078645383951683,0.04297354375661737,32
800,,2,1,sqrt,True,0.8078645383951683,0.04297354375661737,32
500,,5,1,sqrt,True,0.8077980283810327,0.04390806878654117,34
500,30,5,1,sqrt,True,0.8077980283810327,0.04390806878654117,34
800,30,5,2,log2,False,0.8077086262919245,0.041903766767320876,36
800,,5,2,log2,False,0.8077086262919245,0.041903766767320876,36
800,20,5,2,sqrt,True,0.8076449127702409,0.04365511277902408,38
500,20,5,1,sqrt,True,0.8076225897845415,0.043591803107323045,39
800,,5,2,sqrt,True,0.8076098250509427,0.04359033845680769,40
800,30,5,2,sqrt,True,0.8076098250509427,0.04359033845680769,40
300,10,2,2,log2,True,0.8075829738280127,0.04195276149272821,42
800,,10,2,sqrt,True,0.8075628782454917,0.046716806898286174,43
800,30,10,2,sqrt,True,0.8075628782454917,0.046716806898286174,43
800,20,10,2,sqrt,True,0.8075628782454917,0.046716806898286174,43
500,20,10,1,log2,True,0.8075190155367491,0.04605381037118841,46
500,,10,1,log2,True,0.8074488400981525,0.04592683044526806,47
500,30,10,1,log2,True,0.8074488400981525,0.04592683044526806,47
500,10,2,1,log2,True,0.807431608319718,0.040953805265436335,49
800,,2,1,log2,True,0.8073373291967274,0.043532293622720764,50
800,30,2,1,log2,True,0.8073373291967274,0.043532293622720764,50
800,20,2,1,log2,True,0.8073048299157379,0.043846354699292184,52
200,10,5,1,log2,True,0.8073010849411635,0.0413386837528919,53
800,20,5,1,sqrt,True,0.8071862023387733,0.042345803180151236,54
800,30,5,1,sqrt,True,0.8071849540139151,0.04167778707066262,55
800,,5,1,sqrt,True,0.8071849540139151,0.04167778707066262,55
200,30,2,2,log2,True,0.8071591185847422,0.04441639414552203,57
200,,2,2,log2,True,0.8071591185847422,0.04441639414552203,57
300,20,5,1,0.5,True,0.8070781732846243,0.04296433055712749,59
300,30,5,1,0.5,True,0.8070775980761112,0.04292148995060591,60
300,,5,1,0.5,True,0.8070775980761112,0.04292148995060591,60
300,,2,1,0.5,True,0.8070683763821831,0.041990590296523966,62
300,30,2,1,0.5,True,0.8070683763821831,0.041990590296523966,62
200,20,2,2,log2,True,0.8070555810523867,0.04451551457558652,64
500,10,5,1,log2,True,0.8070330867279815,0.04348789441316272,65
300,20,2,1,0.5,True,0.8070166076160055,0.04203228094007778,66
300,20,2,1,sqrt,True,0.8069993207644153,0.04139981597382029,67
800,10,5,1,log2,True,0.8069949883428489,0.04249753911104184,68
500,20,5,2,log2,False,0.8069527411133345,0.042922515792437575,69
500,30,5,2,log2,False,0.806881941512309,0.04279952832543332,70
500,,5,2,log2,False,0.806881941512309,0.04279952832543332,70
